title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Marketing in a Digital World,,University of Illinois at Urbana-Champaign,,4.6,,,,pricing Strategy digital strategy Marketing promotion (marketing) marketing strategy Digital Marketing product placement marketing mix market (economics) business marketing,coursera
Bugs 101: Insect-Human Interactions,Intermediate,University of Alberta,,4.9,,,,butterfly biology veterinary ecosystem Entomology entomophagy agriculture plant insect flight animal life-sciences basic-science,coursera
Analyze Website Visitors with Google Analytics Segments,Beginner,Coursera Project Network,,4.8,,,,analysis PyTorch Segmentation Analysis google analytics market segmentation Benefits project mine analytics film project data-science data-analysis,coursera
Scandinavian Film and Television,Intermediate,University of Copenhagen,,4.5,,,,history Culture welfare state photography Cinematography film Drama Public Service Television Production art arts-and-humanities music-and-art,coursera
Modern American Poetry,Intermediate,University of Illinois at Urbana-Champaign,,4.1,,,,film language defeatism art visual arts Poetry Writing Art History Human Learning history contemporary history arts-and-humanities music-and-art,coursera
"Textual Elements of Design: Fonts, Typography, and Spacing",Beginner,University of Colorado Boulder,,4.8,,,,Web Design html typography adobe illustrator adobe photoshop Brochure Design Video Production Graphic Design Video Editing Computer Graphics arts-and-humanities history,coursera
Marketing Analytics Capstone Project,Advanced,Emory University,,3.7,,,,Marketing regression validation project Market Analysis Accuracy And Precision evaluation Regression Logistic Regression Exploratory Data Analysis analytics business marketing,coursera
Tell the Data Story with Survey Graphics in Google Slides,Advanced,Coursera Project Network,,,,,,use case Framing presentation (software) Line Chart software audience Spreadsheet Software presentation Chart project data-science data-analysis,coursera
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Advanced,Berklee College of Music,,4.8,,,,sleep mode harmony jazz Strategy chord euler's totient function piano Audio Recording ordered pair music arts-and-humanities music-and-art,coursera
User Experience Responsive Hero in XD for Beginners,Beginner,Coursera Project Network,,4.2,,,,character (computing) experience asset login Steel Connection Design User Experience Print Shop project axosoft project mine computer-science design-and-product,coursera
"Internet History, Technology, and Security",Beginner,University of Michigan,,4.8,,,,web internet protocol internet security history internet architecture Cryptography internet architecture security Network Architecture computer-science computer-security-and-networks,coursera
Securing Digital Democracy,Advanced,University of Michigan,,4.8,,,,computer access control elections Distributed Computing Architecture voting Software Testing usability wii menu terminal server security banner blindness computer-science computer-security-and-networks,coursera
Teach English Now! Capstone Project 1,Advanced,Arizona State University,,4.8,,,,curiosity language english language lesson plan philosophy Writing education teaching Human Learning Planning social-sciences education,coursera
Our Energy Future,Beginner,University of California San Diego,,4.7,,,,energy sustainability climate change Sustainable Energy wind energy synthetic biology Energy Policy biofuel renewable energy Energy Systems physical-science-and-engineering environmental-science-and-sustainability,coursera
"Penetration Testing, Incident Response and Forensics",Beginner,IBM,,4.6,,,,incident management penetration test scripting language Python Programming Computer Security Incident Management Leadership and Management security Computer Programming digital forensics forensics information-technology security,coursera
Web Application Development with JavaScript and MongoDB,Advanced,University of London,,4.5,,,,meteor html mongodb Databases Web Development web file system permissions web application user (computing) Javascript computer-science software-development,coursera
Teaching Impacts of Technology: Global Society,Advanced,University of California San Diego,,4.3,,,,BlockChain teaching internet metadata internet of things personal area network shutdown (computing) bitcoin wireless global social-sciences education,coursera
Subsistence Marketplaces,Advanced,University of Illinois at Urbana-Champaign,,4.5,,,,value proposition resource Sales project behavior i-deas Planning market (economics) evaluation Entrepreneurship business leadership-and-management,coursera
